noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad
725.txt,The Guide,"",Harbor facilities that will be increase,19930921,"ABILA, Kronos","Minister Sarto declared the harbor distribution of the extension to be ""the first one of many you compensate that they will harvest themselves by Kronos since we have opened our great country in the foreign investment.""

In March, the government granted to GAStech the exclusive rights to the governmental fields of the curve of Tiskele, the greater underdeveloped deposit of the gas of Europe.","harbor,distribution,extension,krono,country,investment,government,right,field,curve,deposit,gas","first,many,great,foreign,exclusive,governmental,underdeveloped","declare,be,compensate,harvest,open,grant",Sarto,"Kronos,GAStech","Tiskele,Europe",March,"","",0.385,0.4416666666666666
725.txt,The Guide,"",Harbor facilities that will be increase,19930921,"ABILA, Kronos","The representatives of the company of GAStech in Tethys indicated that ""this harbor distribution was gain-wins for both us and Kronos and is dominant to make the Maxima capacity of the fields of the curve of Tiskele.""","representative,company,harbor,distribution,gain,win,capacity,field,curve",dominant,"indicate,be,make","","GAStech,Kronos",Tiskele,"",Tethys,"",0.0,0.0
189.txt,The Guide,"","Annual ends of the meeting of POK in uproar, agai",20130622,"ABILA, Kronos",Rhe members of POK celebrated their annual demonstration in Abila yesterday.,"member,demonstration,yesterday","rhe,annual",celebrate,"",POK,"","annual,yesterday",Abila,"",0.35,0.75
189.txt,The Guide,"","Annual ends of the meeting of POK in uproar, agai",20130622,"ABILA, Kronos","Greater of the crowd it generally collected in front of the building of the Capitol, shaking the samples that carried out the pictures of Elian Karel and Julian Vann, that were painted like POK ""martyrs"".  The crowds sang on the corruption of the government and called president Dorel Kapelou to reduce.  Several protestors took the samples that called for an end to ""corporative Capitalism exploitive of Tethys"" and alleging, ""GAStech poisoned to our kids"".  

The police and the forces of the government security installed between protestors and the building of the Capitol in a demonstration of the force, hoping to prevent the class with chaos that happened during the uproar of the last year.  Nevertheless, after several hours to sing and of speeches, the geniuses in the crowd indicated by means of lights and protestors undertook the line of the police.","crowd,front,building,sample,picture,martyr,crowd,corruption,government,president,protestor,sample,end,capitalism,kid,police,force,government,security,protestor,building,demonstration,force,class,chaos,uproar,year,hour,speech,genius,crowd,mean,light,protestor,line,police","great,several,corporative,exploitive,last,several","collect,carry,paint,sing,call,reduce,take,call,allege,poison,instal,hope,prevent,happen,indicate,undertake","Elian Karel,Julian Vann,Dorel Kapelou","POK,Tethys,GAStech","",the last year,"","",0.11000000000000001,0.21333333333333332
189.txt,The Guide,"","Annual ends of the meeting of POK in uproar, agai",20130622,"ABILA, Kronos","The forces of the police were forced to use the tear gas, the aerosol of the pepper, tubes the water, and rubber bullets to put under the crowd and to protect the characteristic.","force,police,gas,aerosol,pepper,tube,water,rubber,bullet,crowd,characteristic",tear,"force,use,put,protect","","","","","","",-0.18333333333333335,0.3333333333333333
189.txt,The Guide,"","Annual ends of the meeting of POK in uproar, agai",20130622,"ABILA, Kronos","In spite of their heroic efforts, protestors handled to break some windows, damages several vehicles of the police, and damages three officials.","spite,effort,protestor,window,vehicle,police,official","heroic,several","handle,break,damage,damage","","","","","","",0.35,0.45
62.txt,The Guide,"",Sanjorge of GAStech saved from the kidnapping in the HQ of GAStec,20140121,"ABILA, Kronos","According to a press conference it maintained in the headquarters of GAStech in Centrum, Tethys this morning, president and CEO, GAStech CEO Sten Sanjorge Je returned surely to Tethys after the disclosed one to kidnap to event the headquarters of his company that constructed yesterday in Abila.","press,conference,headquarters,morning,president,event,headquarters,company,yesterday","","accord,maintain,return,disclose,kidnap,construct",Sten Sanjorge Je,"GAStech,GAStech,Tethys","",yesterday,"Centrum,Tethys,Abila","",0.5,0.8888888888888888
62.txt,The Guide,"",Sanjorge of GAStech saved from the kidnapping in the HQ of GAStec,20140121,"ABILA, Kronos","Sanjorge, that had been attending a corporative meeting, was in transit of the GAStech that constructed capitol when it happened the kidnapping.  

Sanjorge and the four executives of the headquarters of GAStech of the premises were to take part of a reception that was received by president Kapelou in the building of the Capitol.","meeting,transit,capitol,kidnapping,executive,headquarters,premise,part,reception,building",corporative,"attend,construct,happen,take,receive","Sanjorge,Sanjorge,Kapelou","GAStech,GAStech","","","","",0.0,0.0
62.txt,The Guide,"",Sanjorge of GAStech saved from the kidnapping in the HQ of GAStec,20140121,"ABILA, Kronos",They carried out to the reception to celebrate the twentieth year of the cooperation between the corporation and our country.,"reception,year,cooperation,corporation,country",twentieth,"carry,celebrate","","","",the twentieth year,"","",0.0,0.0
62.txt,The Guide,"",Sanjorge of GAStech saved from the kidnapping in the HQ of GAStec,20140121,"ABILA, Kronos","In the press conference, the spokesman of GAStech said, ""our hearts leave to the families the kidnapped ones.","press,conference,spokesman,heart,family,one","","say,leave,kidnap","",GAStech,"","","","",0.0,0.0
62.txt,The Guide,"",Sanjorge of GAStech saved from the kidnapping in the HQ of GAStec,20140121,"ABILA, Kronos","We are working for a fast and safe resolution to this crisis.""","resolution,crisis","fast,safe",work,"","","","","","",0.35,0.55
372.txt,The Guide,"",Conference of the news of the grasping of the police on the kidnapping of GAStec,20140121,"ABILA, Kronos",The police of Abila carried out a press conference at nine this morning in the headquarters of GAStech of the kidnapping.,"police,press,conference,morning,headquarters,kidnapping","",carry,"",GAStech,"","",Abila,"",0.0,0.0
372.txt,The Guide,"",Conference of the news of the grasping of the police on the kidnapping of GAStec,20140121,"ABILA, Kronos","To clean to informed reporters who four of the employees of GAStech found that whereabouts were yesterday without confirming at night, leaving ten people missing.","reporter,employee,whereabout,yesterday,night,people","","clean,inform,find,leave,miss","",GAStech,"",yesterday,"","",0.05555555555555556,0.25000000000000006
372.txt,The Guide,"",Conference of the news of the grasping of the police on the kidnapping of GAStec,20140121,"ABILA, Kronos",The federal agencies said Carman of the application of law of Adrien Tethyn of the spokesman of the police are attending the investigation.,"agency,application,law,spokesman,police,investigation",federal,"say,attend","Carman,Adrien Tethyn","","","","","",0.0,0.0
372.txt,The Guide,"",Conference of the news of the grasping of the police on the kidnapping of GAStec,20140121,"ABILA, Kronos","The POK is suspected to lead the kidnapping, but he still must demand credit or send a request of the rescue.","kidnapping,credit,request,rescue","","suspect,lead,demand,send","",POK,"","","","",0.0,0.0
372.txt,The Guide,"",Conference of the news of the grasping of the police on the kidnapping of GAStec,20140121,"ABILA, Kronos",The POK rhetoric has more and more turned the more criminal and violent anarchist and his actions on the past several years.,"rhetoric,anarchist,action,year","criminal,violent,past,several",turn,"",POK,"",the past several years,"","",0.00714285714285715,0.4714285714285714
296.txt,The Guide,"","The taxes added on the oil, development of the gas defeated in general to assembly",20010318,"ABILA, Kronos",A movement to increase taxes on the development of the oil and the gas in an additional 10% was defeated today in the General Assembly by a vote from 77 to 23.,"movement,taxis,development,oil,gas,%,today,vote",additional,"increase,defeat","",the General Assembly,"",today,"","",0.05000000000000002,0.5
296.txt,The Guide,"","The taxes added on the oil, development of the gas defeated in general to assembly",20010318,"ABILA, Kronos","The proposed increase of the tax, defended by Minister of the health Will stop Nespola, was to provide the specific financing for the medical care, the clean projects of the water, and the education of health for the rural areas.","increase,tax,health,care,project,water,education,health,area","specific,medical,clean,rural","propose,defend,provide",Will stop Nespola,"","","","","",0.09166666666666667,0.20625000000000002
296.txt,The Guide,"","The taxes added on the oil, development of the gas defeated in general to assembly",20010318,"ABILA, Kronos","Minister Nespola said of the vote of the assembly, ""I am disappointed by the vote, but they treated the assembly that the increase in tax would discourage the foreign investment in our sector of energy.  This is a misfortune to my program to help our rural municipalities, but I am not nothing if not persistent.  My office will send a measurement added reviewed of the tax to the assembly at the end of this year.","vote,assembly,vote,assembly,increase,tax,investment,sector,energy,misfortune,program,municipality,office,measurement,tax,assembly,end,year","disappointed,foreign,rural,persistent","say,treat,discourage,help,be,send,add,review",Nespola,"","",the end of this year,"","",-0.2916666666666667,0.2916666666666667
296.txt,The Guide,"","The taxes added on the oil, development of the gas defeated in general to assembly",20010318,"ABILA, Kronos","In addition, I will work with the office of president Kapelou to reconstruct the allocation of bottoms of present taxes of the gas and the oil to anticipate rural projects of the health.""","addition,office,allocation,bottom,taxis,gas,oil,project,health","present,rural","work,reconstruct,anticipate",Kapelou,"","","","","",0.0,0.0
327.txt,The Guide,"","Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos",Health Minister Cesare Nespola announced he would sponsor a bill to raise taxes on the oil and gas in an additional 10%.,"bill,taxis,oil,gas,%,.",additional,"announce,sponsor,raise",Cesare Nespola,"","","","","",0.0,0.0
327.txt,The Guide,"","Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos","Increasing taxes on the exploitation of gas and foreign oil is specifically designed for health care, clean water projects and health education in rural areas.","increasing,taxis,exploitation,gas,oil,health,care,water,project,health,education,area","foreign,clean,rural",design,"","","","","","",0.08055555555555556,0.275
327.txt,The Guide,"","Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos","Minister Nespola has been a strong advocate for the health and welfare of our citizens, and its support for this measure adds to a long list of actions undertaken on our behalf.","advocate,health,welfare,citizen,support,measure,list,action,behalf","strong,long","be,add,undertake",Nespola,"","","","","",0.19166666666666665,0.5666666666666667
327.txt,The Guide,"","Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos","Last year, Minister Nespola created a financial incentive program designed to bring qualified to practice medicine in medical Abila .","year,incentive,program,medicine","last,financial,qualified,medical","create,design,bring,practice",Nespola,"","",Last year,Abila,"",0.0,0.022222222222222223
327.txt,The Guide,"","Minister Nespola Champions Added Tax Oil , Gas Developmen",19990704,"ABILA, Kronos",This program has added more than a dozen highly trained physicians and specialists from around the world to the staff of the General Hospital of Abila.,"program,dozen,physician,specialist,world,staff",more,"add,train","","","","","","",0.2366666666666667,0.5133333333333333
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","A meeting of hundreds of protestors allied with ""protectors the movement of Kronos"" given return to the violence today as the angry activists expressed their displeasure in the innocent citizens of Abila after hearing the news of the death of Elian Karel of the POK leader.","meeting,hundred,protestor,protector,movement,return,violence,today,activist,displeasure,citizen,news,death,leader","angry,innocent","ally,give,express",Elian Karel,"Kronos,POK","",today,Abila,"",0.0,0.85
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","Karel, that was been waiting the test for the fiscal evasion, was found dead in its cell of the jail yesterday in the morning.","test,evasion,cell,jail,yesterday,morning","fiscal,dead",find,Karel,"","",yesterday,"","",-0.15000000000000002,0.2
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","The POK assembly began enough pacific with the mottos and to shake sung generally of the samples of the protest, but then a young person shakes-rouser grasped bullhorn and began to urge the crowd to the violence.","assembly,motto,sample,protest,person,rouser,bullhorn,crowd,violence","enough,pacific,young","begin,shake,sing,shake,grasp,begin,urge","",POK,"","","","",0.05000000000000001,0.4666666666666666
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","The crowd broke windows and destroyed stores in the area of Siopa, it fixed fires to the streets, and clashed with police.","crowd,window,store,area,fire,street,police","","break,destroy,fix,clash","","","","",Siopa,"",0.1,0.2
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos",The additional forces of the police responded to contain the chaos and were forced to use the bullets and the tear gas of rubber to disperse to the crowds.,"force,police,chaos,bullet,gas,rubber,crowd","additional,tear","respond,contain,force,use,disperse","","","","","","",-0.30000000000000004,0.2
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","The office of president Kapelou sent a declaration on the meeting, indicating, ""this class of violence will not be pardoned.","office,declaration,meeting,class,violence","","send,indicate,pardon",Kapelou,"","","","","",0.0,0.0
162.txt,The Guide,"",The protest gives violent return in Abil,20090621,"ABILA, Kronos","The destruction and the violence are not no way to reach peace and the change - these things are in the opposition the one to the other.  The protectors of Kronos must reassume pacific means; the rest of the approaches is unjustifiable.""","destruction,violence,way,peace,change,thing,opposition,protector,mean,rest,approach","other,pacific,unjustifiable","reach,reassume","",Kronos,"","","","",-0.125,0.375
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos",To clean to spokesman who the Carmen Adrien informed to average the today that the members of the POK assaulted police patrol in early Abila this morning.,"spokesman,today,member,police,patrol,morning",early,"clean,inform,average,assault",the Carmen Adrien,POK,"",the today,Abila,"",0.10555555555555557,0.46666666666666673
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos","The hooligans of POK crawled for above in two officials of the patrol who seated in their vehicle and ambushed to men, striking the windows of their car and dragging them outside the vehicle in the street.","hooligan,official,patrol,vehicle,man,window,car,vehicle,street","","crawl,seat,ambush,strike","",POK,"","","","",0.16666666666666666,0.38333333333333336
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos","They beat, later they tied to the officials and left in the trunk of his vehicle.","official,trunk,vehicle","","beat,tie,leave","","","","","","",0.0,0.0
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos",The then criminals came to disfigure the car with aerosol-painted standards of POK.,"criminal,car,aerosol,standard","","come,disfigure,paint","","","","","","",0.0,0.0
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos","""Assaulting the property of a state of the police official and destroying it is serious crimes,"" the Carmen this.","property,state,police,official,crime",serious,"assault,destroy",Carmen,"","","","","",-0.26666666666666666,0.3333333333333333
388.txt,The Guide,"",Police of the assault of POK in Abil,20131216,"ABILA, Kronos","""Desire to assure the public that will take and will be brought to these men to justice soon.""","desire,public,man,justice","","assure,take,bring","","","","","","",0.0,0.06666666666666667
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos",The protectors of Kronos (POK) suspect themselves to kidnap to up to fourteen employees of GAStech of their construction of the headquarters previous today.,"protector,employee,construction,headquarters,today",previous,"suspect,kidnap","","Kronos,POK,GAStech","",previous today,"","",-0.16666666666666666,0.16666666666666666
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos",The police of Abila quickly assured the remaining building and interviewed with a used GAStech.,"police,remaining,building","","assure,interview,use","",GAStech,"","",Abila,"",0.3333333333333333,0.5
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos","They asked an employee, Edvard Vann of Abila, for hours because it shares a name of family with several members known POK.","employee,hour,name,family,member",several,"ask,share,know",Edvard Vann,POK,"","",Abila,"",0.0,0.0
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos",Vann denied the implication with the POK it demanded and it not to have no knowledge of the kidnapping.,"implication,knowledge,kidnapping","","deny,demand,have",Vann,POK,"","","","",0.0,0.0
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos",The POK has not made any declaration with respect to the kidnapping.,"declaration,respect,kidnapping","",make,"",POK,"","","","",0.0,0.0
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos","Sent civil employees GAStech of its Department of the Interior in Centrum, Tethys to help to clean to the handle the incident.","employee,handle,incident",civil,"send,help,clean","","GAStech,Department of the Interior,Tethys","","",Centrum,"",0.3666666666666667,0.7000000000000001
145.txt,The Guide,"",POK kidnaps to employees of GAStec,20140120,"ABILA, Kronos",The application and the representatives of federal law of Tethys of the ministry of Tethys of outer subjects flew to Kronos and were escorted to the headquarters of the police of Abila.,"application,representative,law,ministry,subject,headquarters,police","federal,outer","fly,escort","","","","","Kronos,Abila","",0.0,0.0
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos",The minister of the health Will stop Nespola announced today that her organization would be investigating demands of abnormal editions of the health in the areas that surround the site by drill of the curve of Tiskele.,"minister,health,today,organization,demand,edition,health,area,site,drill,curve",abnormal,"announce,investigate,surround",Will stop Nespola,"","",today,Tiskele,"",0.0,0.0
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos","Said Minister Nespola, ""we are not any right to think that perforating in the curve of Tiskele it has given rise to any contamination of the superficial water or in the region.","curve,rise,contamination,water,region","right,superficial","say,think,perforate,give",Nespola,"","","",Tiskele,"",0.2857142857142857,0.5357142857142857
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos","Nevertheless, I believe that it is important like minister of the health to run errand due and to investigate the information of the disease near the municipality of Elodis.","minister,health,errand,information,disease,municipality","important,due","believe,run,investigate","","","","",Elodis,"",0.125,0.5916666666666667
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos","To take well-taken care of from our people is my priority of number one.""","care,people,priority,number","","take,take","","","","","","",0.0,0.0
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos","In the related news, a launching of press of the office of Nespola proclaimed that its office has granted a license to practice the medicine to oncologist of Tethys, doing to him to first oncologist licensed in history of Kronos.","news,launching,press,office,office,license,medicine,oncologist,oncologist,history",first,"relate,proclaim,grant,practice,license","","Nespola,Tethys","","","","",0.125,0.3666666666666667
330.txt,The Guide,"",The ministry of the health investigates complaints of the contaminatio,19981110,"ABILA, Kronos",Dr Ronald Gerard will be a resident in the general hospital of Abila.,"resident,hospital",general,be,Ronald Gerard,"","","",Abila,"",0.05000000000000002,0.5
47.txt,The Guide,"",Distribution of strikes of the government with international GAStec,19930313,"ABILA, Kronos","ABILA, Kronos - president Araullo today announced the signature of an agreement between his government and the GAStech Tethys-based international for the development of the gas fields of the curve of Tiskele.","president,today,signature,agreement,government,international,development,gas,field,curve","","announce,base",Araullo,"Kronos,GAStech,Tethys","",today,"ABILA,Tiskele","",0.0,0.0
47.txt,The Guide,"",Distribution of strikes of the government with international GAStec,19930313,"ABILA, Kronos","GAStech, under direction of the visionary Sten Sanjorge Jr, was granted the rights exclusive to perforate inside the governmental fields after being suitable the request of the government who 50% or more of the manual labor are citizen of Kronosian.","direction,right,field,request,government,%,labor,citizen","visionary,exclusive,governmental,suitable,more,manual","grant,perforate,be,be",Sten Sanjorge Jr,GAStech,"","","","",0.525,0.625
47.txt,The Guide,"",Distribution of strikes of the government with international GAStec,19930313,"ABILA, Kronos","President Araullo hailed the distribution of the signal like ""the principle of a new one was for our great country, of an era of the opportunity and the fortune for all.""  Our sources in the Department of the Interior say us that the tax of 50% tax in the new exploration of the oil and the gas could render superior to $1 billion in fiscal income per year.","distribution,signal,principle,country,era,opportunity,fortune,source,tax,%,tax,exploration,oil,gas,income,year","new,great,new,superior,fiscal","hail,be,say,render",Araullo,the Department of the Interior,"","","","",0.4431818181818182,0.6397727272727273
47.txt,The Guide,"",Distribution of strikes of the government with international GAStec,19930313,"ABILA, Kronos","This will allow that the government makes investments without precedents in the infrastructure, the medical care, and the education.","government,investment,precedent,infrastructure,care,education",medical,"allow,make","","","","","","",0.0,0.0
641.txt,The Guide,"",The government announces the fiscal incentives for the foreign investmen,19930119,"ABILA, Kronos",The parliament today voted 86 to 14 in favor of the package of president Araullo of the fiscal incentives designed to just deceive the foreign investment our country.,"parliament,today,favor,package,incentive,investment,country","fiscal,foreign","vote,design,deceive",Araullo,"","",today,"","",-0.125,0.125
641.txt,The Guide,"",The government announces the fiscal incentives for the foreign investmen,19930119,"ABILA, Kronos","Tomas Sartos, minister of the interior, praised the vote as ""distribution of the designed signal to improve the lives of all the Kronosians"".","minister,vote,distribution,signal,life","","praise,design,improve",Tomas Sartos,"","","","","",0.0,0.0
641.txt,The Guide,"",The government announces the fiscal incentives for the foreign investmen,19930119,"ABILA, Kronos","x

The fiscal incentives aim specifically at companies of development of the energy, to that the government hopes to deceive the rich ones of Kronos, but yet underdeveloped, the gas fields.  The ministry of the inner projections demonstrates that the development hardly of the fields of the curve of Tiskele could bring in as much as 5,000 high works and billion of the production that paid of dollars of development of the infrastructure during the 20 next years.","incentive,company,development,energy,government,one,gas,field,ministry,projection,development,field,curve,work,production,dollar,development,infrastructure,year","fiscal,rich,underdeveloped,inner,much,high,next","aim,hope,deceive,demonstrate,bring,pay","","","",the 20 next years,"Kronos,Tiskele","",0.07388888888888889,0.3663888888888889
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",The protectors of the demonstration of Kronos were carried out in front of headquarters of the police of Abila yesterday in the morning.,"protector,demonstration,front,headquarters,police,yesterday,morning","",carry,"",Kronos,"",yesterday,Abila,"",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The POK had collected inside memorialize to their previous leader, Elian Karel, that died of natural causes in jail the last year.","memorialize,leader,cause,jail,year","previous,natural,last","collect,die",Elian Karel,POK,"",the last year,"","",-0.041666666666666664,0.15833333333333333
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","POK those in favor took samples with the pictures of Karel and of Julian Vann, they sang mottos, and they ignited candles.","favor,sample,picture,motto,candle","","take,sing,ignite","Karel,Julian Vann",POK,"","","","",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",The pacific demonstration gave violent return when two members of POK approached man whom it tried to enter the building in business.,"demonstration,return,member,man,building,business","pacific,violent","give,approach,try,enter","",POK,"","","","",-0.8,1.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The members of struck it to POK with a bottle, struck that it to the Earth and it gave a bloody incision him in his front.","member,bottle,incision,front",bloody,"strike,strike,give","",POK,Earth,"","","",-0.8,0.9
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The police of Abila tried to gain the control of the situation being used bullhorns to call for the pacific dispersion of the crowd, but the crowd responded to its calls sending insults along with some rocks in the officials.","police,control,situation,bullhorn,dispersion,crowd,crowd,call,sending,insult,rock,official",pacific,"try,gain,use,call,respond","","","","",Abila,"",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The police used the tear gas to finish the meeting, but a handful of members die-hard of POK impelled to crowd in melee with the officials.","police,gas,meeting,handful,member,melee,official","tear,die,hard","use,finish,impel,crowd","",POK,"","","","",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",The additional security force had to be summoned to the aid contains the situation whereas the violence extended.,"security,force,aid,situation,violence",additional,"have,summon,contain,extend","","","","","","",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","When the tear gas finally cleared, they arrested to the member of six POK in loads of assault in civilian authorities and the incitación of a crowd to the violence.","gas,member,load,assault,authority,incitación,crowd,violence","tear,civilian","clear,arrest","",POK,"","","","",0.0,1.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",They treated to three officials of police in the general hospital of Abila for the received wounds in the fight.,"official,police,hospital,wound,fight",general,"treat,receive","","","","",Abila,"",0.05000000000000002,0.5
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","""We had been referred that the weak direction of Silvia Marek is allowing that the POK was assumed the control by the criminals and the hooligans.","direction,control,criminal,hooligan",weak,"refer,allow,assume",Silvia Marek,POK,"","","","",-0.375,0.625
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The today events demonstrate that our preoccupations were valid,"" to said Carman Adrien of the spokesman of the police.","today,event,preoccupation,spokesman,police",valid,"demonstrate,say",Carman Adrien,"","",today,"","",0.0,0.0
670.txt,The Guide,"",Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",Marek replaced Elian Karel like figurehead popular of the POK movement the last summer.,"figurehead,movement,summer","popular,last",replace,"Marek,Elian Karel",POK,"",the last summer,"","",0.3,0.48333333333333334
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos",The members of POK celebrated a great demonstration in Abila yesterday.,"member,demonstration,yesterday",great,celebrate,"",POK,"",yesterday,Abila,"",0.575,0.75
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos","It varies dozen of his those in favor carried out seating-ins in front of the building of capitol and señorío presidential, whereas others took the streets with their samples and sing.","dozen,favor,seating,in,front,building,capitol,other,street,sample",presidential,"vary,carry,take,sing","","","","","","",0.0,0.0
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos","Protestors distributed the aviators to the present people who alleged that our government is corrupt and ""the rich ones obtain richer in the backs of the poor men"".  They answered the police called for the peace end when seating-ins, but with a prey of rocks and bottles of the crowd.","protestor,aviator,people,government,one,back,man,police,peace,end,in,prey,rock,bottle,crowd","present,corrupt,rich,rich,poor","distribute,allege,obtain,answer,call,seat","","","","","","",-0.125,0.49000000000000005
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos","They forced the violence extended in a true uproar and to the police to use the tear gas, the aerosol of the pepper, the tubes of the water, and beanbags thrown of the guns to control to the crowd.","violence,uproar,police,gas,aerosol,pepper,tube,water,beanbag,gun,crowd","true,tear","force,extend,use,throw,control","","","","","","",0.024999999999999967,0.42500000000000004
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos","For the moment in which they had destroyed to the crowds finally dispersed, several buildings of the government, two vehicles of the police were burning, and the streets were left in disorder with sweepings and broken crystal.  Protestors and police damaged several, including an official of heroic police that was stabbed by a driven crazy protestor.","moment,crowd,building,government,vehicle,police,street,disorder,sweeping,crystal,protestor,police,official,police,protestor","several,several,heroic,crazy","destroy,disperse,burn,leave,break,damage,include,stab,drive","","","","","","",-0.042857142857142864,0.45714285714285713
664.txt,The Guide,"",Ends of the meeting of the anniversary of POK in uproa,20120621,"ABILA, Kronos","The official, whom she names has retained itself for reasons of the security, is in conditions critics in the general hospital of Abila.","official,reason,security,condition,critic,hospital",general,"name,retain","","","","",Abila,"",0.05000000000000002,0.5
837.txt,The Guide,"",The protest of POK in GAStech establishes headquarters of ends in halting,20090219,"ABILA, Kronos",The protectors of Kronos (POK) met in front of the district headquarterses of GAStech in Abila arrested to the dozens of demonstrators taking care of to violate this morning.,"protector,front,district,headquarters,dozen,demonstrator,taking,care,morning","","meet,arrest,violate","","Kronos,POK,GAStech","","",Abila,"",0.0,0.0
837.txt,The Guide,"",The protest of POK in GAStech establishes headquarters of ends in halting,20090219,"ABILA, Kronos",The POK meeting was thought to draw the attention to its demands of the environmental damage that was caused by the development of the deposits of the gas and petroleum around Kronos by foreign corporations like GAStech.,"meeting,attention,demand,damage,development,deposit,gas,petroleum,corporation","environmental,foreign","think,draw,cause","","POK,Kronos,GAStech","","","","",-0.125,0.125
837.txt,The Guide,"",The protest of POK in GAStech establishes headquarters of ends in halting,20090219,"ABILA, Kronos",Near two hundred people they collected in front of the samples of the mottos and shaking singing of the building of GAStech that maintained visages of the people who alleged have died due to the contamination of environment.,"people,front,sample,motto,shaking,building,visage,people,contamination,environment","","collect,maintain,die","",GAStech,"","","","",-0.041666666666666664,0.2916666666666667
837.txt,The Guide,"",The protest of POK in GAStech establishes headquarters of ends in halting,20090219,"ABILA, Kronos",Ten of protestors were chained to the doors of the building in an attempt to avoid that the employees of GAStech go to the work.,"protestor,door,building,attempt,employee,work","","chain,avoid,go","",GAStech,"","","","",0.0,0.0
