noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad,cant_personas
508.txt,Kronos Star,Marcella Trapan,POK Protest at Abila Police Headquarter,20100620,"ABILA, Krono","The POK had gathered in memorialize their former leader, Elian Karel, who died of natural causes in jail last year.","leader,cause,jail,year","former,natural,last","gather,memorialize,die",Elian Karel,POK,,last year,,,0.0,0.11666666666666667,1
508.txt,Kronos Star,Marcella Trapan,POK Protest at Abila Police Headquarter,20100620,"ABILA, Krono",Marek replaced Elian Karel as the popular figurehead of the POK movement last summer.,"figurehead,movement,summer","popular,last",replace,"Marek,Elian Karel",POK,,last summer,,,0.3,0.4833333333333333,2
523.txt,The Orb,,"IN MEMORY:  The DEATH Of ELIAN KAREL, ONE YEAR AFTERWARD",20100621,"ABILA, Kronos","Instead of that, formerly in the hours early of morning of June 19, Elian Karel died with unexplainable damage with the official cause of death.","hour,morning,damage,cause,death","unexplainable,official",die,Elian Karel,,,,,,0.05,0.15,1
257.txt,Daily Pegasus,,"IN REMEMBRANCE:  THE DEATH OF ELIAN KAREL, A YEAR LATE",20100621,"ABILA, Kronos","In place, sometimes on the early hours in the morning of the 19 of June, Elian Karel died with inexplicable injuries with the official cause of the death.","place,hour,morning,injury,cause,death","early,inexplicable,official",die,Elian Karel,,,,,,-0.25,0.6,1
767.txt,International News,,POK Protest at Abila Police Headquarters,20100621,"ABILA, Kronos",Marek replaced Elian Karel as the popular figurehead of the POK movement last summer.,"figurehead,movement,summer","popular,last",replace,"Marek,Elian Karel",POK,,last summer,,,0.3,0.4833333333333333,2
767.txt,International News,,POK Protest at Abila Police Headquarters,20100621,"ABILA, Kronos","The POK had gathered in memorialize their former leader, Elian Karel, who died of natural causes in jail last year.","leader,cause,jail,year","former,natural,last","gather,memorialize,die",Elian Karel,POK,,last year,,,0.0,0.11666666666666667,1
767.txt,International News,,POK Protest at Abila Police Headquarters,20100621,"ABILA, Kronos","POK supporters carried signs with pictures of Karel and Juliana Vann, chanted slogans, and lit candles.  

The peaceful demonstration turned violent when two POK members accosted a man who attempted to enter the building on business.  The POK members hit him with a bottle, which knocked him to the ground and gave him a bloody gash on his forehead.  Abila police attempted to gain control of the situation by using bullhorns to call for the peaceful dispersal of the crowd, but the crowd responded to their calls by hurling insults along with a few rocks at the officers.  Police used tear gas to end the gathering, but a handful of die-hard POK members urged the crowd into melee with the officers.","supporter,sign,picture,slogan,candle,demonstration,member,man,building,business,member,bottle,ground,gash,forehead,police,control,situation,bullhorn,dispersal,crowd,crowd,call,insult,rock,officer,police,gas,gathering,handful,member,crowd,melee,officer","peaceful,violent,bloody,peaceful,few,tear,die,hard","carry,chant,light,turn,accost,attempt,enter,hit,knock,give,attempt,gain,use,call,respond,hurl,use,end,urge","Karel,Juliana Vann","POK,POK,POK,POK",,,Abila,,-0.26,0.6,2
158.txt,The Wrap,,"IN MEMORY:  THE DEATH OF ELIAN KAREL, A LATER YEA",20100621,"ABILA, Kronos","In place of it, ever in the early morning hours of 19 June, Elian Karel with wounds inexplicable with the official cause of death died.","place,morning,hour,wound,cause,death","early,inexplicable,official",die,Elian Karel,,,19 June,,,-0.25,0.6,1
581.txt,The Truth,,Protest POK at the Headquarters of the police force Abil,20100622,"ABILA, Kronos","Chanted the defenders behave signs POK with pictures of Karel and Juliana Vann, slogans, and strike candles to.","defender,sign,picture,slogan,candle",,"chant,behave,strike","POK,Karel,Juliana Vann",,,,,,0.0,0.0,3
670.txt,The Guide,,Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos","The POK had collected inside memorialize to their previous leader, Elian Karel, that died of natural causes in jail the last year.","memorialize,leader,cause,jail,year","previous,natural,last","collect,die",Elian Karel,POK,,the last year,,,-0.04166666666666666,0.15833333333333333,1
581.txt,The Truth,,Protest POK at the Headquarters of the police force Abil,20100622,"ABILA, Kronos",Marek replaced Elian Karel as popular figurehead of the movement POK the previous summer.,"figurehead,movement,summer","popular,previous",replace,"Marek,Elian Karel",POK,,the previous summer,,,0.21666666666666667,0.5333333333333333,2
581.txt,The Truth,,Protest POK at the Headquarters of the police force Abil,20100622,"ABILA, Kronos","POK within memorialize their former LEADER, Elian Karel had collected himself, who died previous year to natural causes in prison.","memorialize,leader,year,cause,prison","former,previous,natural","collect,die",Elian Karel,POK,,previous year,,,-0.022222222222222216,0.18888888888888888,1
620.txt,Worldwise,,Protest of POK to the registered offices of police force of Abil,20100622,"ABILA, Kronos","The POK had collected inside memorialize their former chief, Elian Karel, which died last year of the normal causes in prison.","chief,year,cause,prison","former,last,normal","collect,memorialize,die",Elian Karel,POK,,last year,,,0.05,0.23888888888888885,1
620.txt,Worldwise,,Protest of POK to the registered offices of police force of Abil,20100622,"ABILA, Kronos",Marek replaced Elian Karel as popular figurehead of the movement of POK the last summer.,"figurehead,movement,summer","popular,last",replace,"Marek,Elian Karel",POK,,the last summer,,,0.3,0.4833333333333333,2
670.txt,The Guide,,Protest of POK in the headquarters of the police of Abil,20100622,"ABILA, Kronos",Marek replaced Elian Karel like figurehead popular of the POK movement the last summer.,"figurehead,movement,summer","popular,last",replace,"Marek,Elian Karel",POK,,the last summer,,,0.3,0.4833333333333333,2
620.txt,Worldwise,,Protest of POK to the registered offices of police force of Abil,20100622,"ABILA, Kronos","The defenders of POK carried signs with images of Karel and of Juliana Vann, slogans sang, and lit candles.","defender,sign,image,slogan,candle",,"carry,sing,light","Karel,Juliana Vann",POK,,,,,0.0,0.0,2
225.txt,Homeland Illumination,Petrus Gerhar,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KARE,20110620,"ABILA, Krono","Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.","yesterday,19th,group,supporter,front,photograph,martyr,year,girl,cancer,benzene,toxin,drinking,water","small,young,old","gather,hold,die,cause","Elian,Juliana Vann",POK,,"Yesterday,ten-year old,1998",,,-0.016666666666666663,0.3333333333333333,2
161.txt,Homeland Illumination,Petrus Gerhar,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KARE,20110620,"ABILA, Krono","These confidential sources have since moved from the area and have been unavailable for contact.
Police have denied anything unusual happened in Karels death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence.
Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.","source,area,contact,police,death,city,official,accusation,murder,death,rabble,rouser,instability,violence,yesterday,19th,group,supporter,front,photograph,martyr,year,girl,cancer,benzene,toxin,drinking,water","confidential,unavailable,anything,unusual,wrongful,small,young,old","move,be,deny,happen,claim,assert,attempt,incite,gather,hold,die,cause","Elian,Juliana Vann","POK,POK",,"Yesterday,ten-year old,1998",,,0.037500000000000006,0.5,2
161.txt,Homeland Illumination,Petrus Gerhar,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KARE,20110620,"ABILA, Krono","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.","year,yesterday,age,jail,cell,arrest",cardiac,die,Elian Karel,,,"Two years ago yesterday,age 28",Abila,,-0.06666666666666668,0.0,1
225.txt,Homeland Illumination,Petrus Gerhar,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KARE,20110620,"ABILA, Krono","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.","year,yesterday,age,jail,cell,arrest",cardiac,die,Elian Karel,,,"Two years ago yesterday,age 28",Abila,,-0.06666666666666668,0.0,1
77.txt,All News Today,,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20110621,"ABILA, Krono","As reported at the time of Karel's death, several people close to the investigation reported that Karel's body showed signs of blunt force trauma, abrasions and lacerations which were not consistent with the cause of death reported by the police. 

Police have denied anything unusual happened in Karel's death and city officials claim the accusations of murder and wrongful death are asserted by POK rabble-rousers attempting to incite instability and violence. 

Yesterday on the morning of June 19th, a small group of POK supporters gathered in front of the Abila Police Station, holding photographs of Elian, and of another young martyr, Juliana Vann, the ten-year old girl who died in 1998 from cancer caused by benzene toxins in her drinking water.   

""Both of them died because of government lies and corruption,"" one man told me who asked that his name be withheld because of concerns of police retaliation.","time,death,people,investigation,body,sign,force,trauma,abrasion,laceration,cause,death,police,police,death,city,official,accusation,murder,death,rabble,rouser,instability,violence,yesterday,19th,group,supporter,front,photograph,martyr,year,girl,cancer,benzene,toxin,drinking,water,government,lie,corruption,man,name,concern,police,retaliation","several,close,blunt,consistent,unusual,wrongful,small,young,old","report,report,show,be,report,deny,happen,claim,assert,incite,gather,hold,die,cause,die,tell,ask,withhold","Karel,Karel,Karel,Elian,Juliana Vann","POK,POK",,"Yesterday,ten-year old,1998",,,0.00416666666666667,0.375,5
77.txt,All News Today,,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20110621,"ABILA, Krono","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.","year,yesterday,age,jail,cell,arrest",cardiac,die,Elian Karel,,,"Two years ago yesterday,age 28",Abila,,-0.06666666666666668,0.0,1
288.txt,News Online Today,,A LOOK BACK AT A LIFE CUT TRAGICAL SHORT: ELIAN KAREL,20110621,"ABILA, Krono","Two years ago yesterday Elian Karel died at age 28 in an Abila jail cell, purportedly of cardiac arrest.","year,yesterday,age,jail,cell,arrest",cardiac,die,Elian Karel,,,"Two years ago yesterday,age 28",Abila,,-0.06666666666666668,0.0,1
799.txt,The Wrap,,A CAN ON LIVING CUT TRAGICAL SHORT: ELIAN KARE,20110622,"ABILA, Kronos","The police force has denied uncommon no matter what in death happened of Karel and the town civil servants require the charges of assassination and the unlawful dead by POK rabble-rousers trying instability and recall violence are claimed.

Yesterday on the morning of 19 June, collected a small group itself defenders POK for the mail of the police force Abila, photograph of Elian, and of another young martyr, Juliana Vann, ten years - old little girl that in 1998, to cancer which by benzene toxin is caused in its drinking water died.","police,force,death,town,servant,charge,assassination,dead,rabble,rouser,instability,violence,yesterday,group,mail,police,force,photograph,martyr,year,girl,cancer,benzene,toxin,drinking,water","uncommon,civil,unlawful,small,young,old,little","deny,happen,require,try,recall,claim,collect,cause,die","Karel,Elian,Juliana Vann",POK,,"Yesterday,ten years - old,1998",Abila,,0.05178571428571429,0.4142857142857143,3
249.txt,The Orb,,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KARE,20110622,"ABILA, Kronos","Yesterday the morning of June 19, a small group of defenders of POK collected in front of the police station of Abila, holding of the photographs of Elian, and another young martyrdom, Juliana Vann, ten years old maid who died in 1998 of cancer caused by benzene toxins in her drinking water.","yesterday,morning,group,defender,front,police,station,photograph,martyrdom,year,maid,cancer,benzene,toxin,drinking,water","small,young,old","collect,hold,die,cause","Elian,Juliana Vann",POK,,"Yesterday,ten years old,1998",Abila,,-0.012499999999999995,0.25,2
249.txt,The Orb,,A GLANCE BEHIND TRAGEDY OF CUT OF THE LIFE: ELIAN KARE,20110622,"ABILA, Kronos","Two years ago yesterday Elian Karel died at age 28 in a cell of prison of Abila, supposedly of heart stop.","year,yesterday,age,cell,prison,heart,stop",,die,"Elian Karel,Abila",,,"Two years ago yesterday,age 28",,,0.0,0.0,2
799.txt,The Wrap,,A CAN ON LIVING CUT TRAGICAL SHORT: ELIAN KARE,20110622,"ABILA, Kronos","Two years suffered yesterday Elian Karel on age 28 died in Abila prison cell, apparently of cardiac arrest.","year,yesterday,age,prison,cell,arrest",cardiac,"suffer,die",Elian Karel,,,"Two years,yesterday,age 28",Abila,,-0.05,0.0,1
379.txt,Kronos Star,Marcella Trapan,Minister of Health Receives Threats from PO,20120307,"ABILA, Krono","""I guess they're getting desperate for attention,"" Vincent Kapelou said in a phone interview.","attention,phone,interview","getting,desperate","guess,say",Vincent Kapelou,,,,,,-0.6,1.0,1
379.txt,Kronos Star,Marcella Trapan,Minister of Health Receives Threats from PO,20120307,"ABILA, Krono","I have doubled the size of my security force and sent my family away on an extended vacation.""

Kapelou, 39, was appointed to the position of Minister of Health in 2001 after the death of Cesare Nespola.","size,security,force,family,vacation,position,death",extended,"double,send,appoint","Kapelou,Cesare Nespola",,,"39,2001",,,0.0,0.0,2
379.txt,Kronos Star,Marcella Trapan,Minister of Health Receives Threats from PO,20120307,"ABILA, Krono","Police sources have informed the Kronos Star that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.","police,source,threatening,letter",several,"inform,receive,purport,come",Vincent Kapelou,"the Kronos Star,POK",,,,,0.0,0.0,1
584.txt,The Truth,,The minister of health receives threats of PO,20120308,"ABILA, Kronos","Kapelou, 39, were appointed in the position of minister of health in 2001, after the death of Cesare Nespola.","position,minister,health,death",,appoint,"Kapelou,Cesare Nespola",,,"39,2001",,,0.0,0.0,2
228.txt,Worldwise,,The Minister for health receives threats of PO,20120308,"ABILA, Kronos","I doubled the size of my force of safety and sent my family far from the prolonged holidays.""

Kapelou, 39, were named with the position of the Minister for health in 2001 after the death of Cesare Nespola.","size,force,safety,family,holiday,position,health,death",,"double,send,prolong,name","Kapelou,Cesare Nespola",,,"39,2001",,,0.1,1.0,2
797.txt,News Online Today,,Minister of Health Receives Threats from POK,20120308,"ABILA, Kronos","Police sources have stated that Vincent Kapelou, Minister of Health, has received several threatening letters purporting to come from the POK.","police,source,threatening,letter",several,"state,receive,purport,come",Vincent Kapelou,,,,POK,,0.0,0.0,1
265.txt,The Abila Post,,THREATS ISSUED BY PO,20120308,"ABILA, Kronos","Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.","letter,nephew",,"purport,be,receive","Vincent Kapelou,Kapelou","the Protectors of Kronos,POK",,,,,0.0,0.0,2
228.txt,Worldwise,,The Minister for health receives threats of PO,20120308,"ABILA, Kronos","""I guess that they become desperate for the attention,"" Vincent Kapelou called in an interview of telephone.","attention,interview,telephone",desperate,"guess,become,call",Vincent Kapelou,,,,,,-0.6,1.0,1
228.txt,Worldwise,,The Minister for health receives threats of PO,20120308,"ABILA, Kronos","The sources of police force informed that Kronos hold the first role this Vincent Kapelou, minister of health, received several threatening letters to come from the POK.","source,police,force,role,minister,health,letter","first,several,threatening","inform,hold,receive,come",Vincent Kapelou,POK,,,,,0.125,0.16666666666666666,1
584.txt,The Truth,,The minister of health receives threats of PO,20120308,"ABILA, Kronos","he  police force have communicated that Vincent Kapelou, minister of health, different has received those letters threaten claiming from POK come.","police,force,minister,health,letter",different,"communicate,receive,threaten,come",Vincent Kapelou,,,,POK,,0.0,0.6,1
584.txt,The Truth,,The minister of health receives threats of PO,20120308,"ABILA, Kronos","I assume they for attention desperate become, Vincent Kapelou aforesaid in a telephone conversation.","attention,telephone,conversation",desperate,"assume,become,aforesaid",Vincent Kapelou,,,,,,-0.6,1.0,1
258.txt,The Explainer,,THE THREATS PUBLISHED BY PO,20120309,"ABILA, Kronos","The tried letters to be of the protectors of Kronos (POK) have been received by Vincent Kapelou, minister of the health and nephew of president Kapelou.","letter,protector,minister,health,nephew",,"try,be,receive","Vincent Kapelou,Kapelou","Kronos,POK",,,,,0.0,0.0,2
373.txt,The Guide,,The minister of the health receives POK threat,20120309,"ABILA, Kronos","""I conjecture that they are obtaining desperate for the attention,"" Vincent Kapelou said in an interview of the telephone.","attention,interview,telephone","obtaining,desperate","conjecture,say",Vincent Kapelou,,,,,,-0.6,1.0,1
373.txt,The Guide,,The minister of the health receives POK threat,20120309,"ABILA, Kronos","The sources of the police have informed that Vincent Kapelou, minister of the health, has received several threatening letters that they tried to come from the POK.","source,police,minister,health,threatening,letter",several,"inform,receive,try,come",Vincent Kapelou,POK,,,,,0.0,0.0,1
549.txt,News Online Today,,THREATS ISSUED BY POK,20120309,"ABILA, Kronos","Letters purported to be from the Protectors of Kronos (POK) have been received by Vincent Kapelou, Minister of Health and nephew of President Kapelou.","letter,nephew",,"purport,be,receive","Vincent Kapelou,Kapelou",the Protectors of Kronos,,,,,0.0,0.0,2
610.txt,Athena Speaks,,THE THREATS PUBLISHED BY PO,20120310,"ABILA, Kronos","ABILA, Kronos - letters claimed to be from guards of Kronos (POK) were received by Vincent Kapelou, minister of health and nephew of President Kapelou.","letter,guard,minister,health,nephew",,"claim,be,receive","Vincent Kapelou,Kapelou","Kronos,POK",,,,,0.0,0.0,2
104.txt,News Desk,,THREATS WHICH ARE SPENT BY PO,20120310,"ABILA, Kronos","The letters which are claimed have been received for of the guards of Kronos (POK) its Vincent Kapelou, minister of health and cousin of president Kapelou.","letter,guard,minister,health,cousin,president",,"claim,receive","Vincent Kapelou,Kapelou","Kronos,POK",,,,,0.0,0.0,2
570.txt,News Online Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.","ceremony,leader,activist,group,tribute,leader,jail",touching,"pay,fall,murder,detain",Elian Karel,"Protectors of Kronos,Kronos",,"Wednesday,19 June 2009",,,-0.03333333333333333,0.3333333333333333,1
570.txt,News Online Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor.","today,assembly,candle,honor","rapt,many,white","gather,remember,tell,hold","Elian Karel,Silvia Marek,Karel",,,Today,,,0.25,0.25,3
570.txt,News Online Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10

""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor.","time,family,member,friend,illness,neighbor,today,assembly,candle,honor","many,battling,constant,rapt,many,white","be,include,gather,remember,tell,hold","Elian,Elian Karel,Silvia Marek,Karel",,,"17,Today",,,0.25,0.3333333333333333,4
18.txt,Homeland Illumination,Petrus Gerhar,POK REMEMBERS MARTYRED LEADE,20120620,"ABILA, Krono","He grew up with the specter of death all around him.   By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann.""","specter,death,time,family,member,friend,illness,neighbor,year","many,constant,old","grow,be,battle","Elian,Juliana Vann",,,"17,10-year old",,,0.2,0.3444444444444444,2
698.txt,All News Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","He had watched his father, Jeroen and the founder of the POK, Henk Bodrogi, walk the very path he would tread.","father,founder,path",very,"watch,walk,tread","Jeroen,Henk Bodrogi",POK,,,,,0.2,0.3,2
698.txt,All News Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann.""","time,family,member,friend,illness,neighbor,year","many,constant,old","be,battle,include","Elian,Juliana Vann",,,"17,10-year old",,,0.2,0.3444444444444444,2
18.txt,Homeland Illumination,Petrus Gerhar,POK REMEMBERS MARTYRED LEADE,20120620,"ABILA, Krono","In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.","ceremony,leader,activist,group,tribute,leader,jail",touching,"pay,fall,murder,detain",Elian Karel,"Protectors of Kronos,Kronos",,"Wednesday,19 June 2009",,,-0.03333333333333333,0.3333333333333333,1
282.txt,International Times,,Abila police break up sit-in turned violent at the presidential manor,20120620,,"Tuesday was the third anniversary of the mysterious death of Elian Karel, a popular leader of the POK who died in prison.","anniversary,death,leader,prison","third,mysterious,popular",die,Elian Karel,POK,,Tuesday,,,0.2,0.6333333333333333,1
282.txt,International Times,,Abila police break up sit-in turned violent at the presidential manor,20120620,,"Images of Juliana Vann, the 10 year old girl who died from illnesses attributed to the industrial giant GAStech international served as rallying points.","image,year,girl,illness,giant,rallying,point","old,industrial","die,attribute,serve",Juliana Vann,GAStech international,,10 year old,,,0.03333333333333333,0.4,1
570.txt,News Online Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","By the time Elian was 17 many of his family members and friends were battling constant illness, including his neighbor 10-year old Juliana Vann.""","time,family,member,friend,illness,neighbor,year","many,constant,old","be,battle","Elian,Juliana Vann",,,"17,10-year old",,,0.2,0.3444444444444444,2
18.txt,Homeland Illumination,Petrus Gerhar,POK REMEMBERS MARTYRED LEADE,20120620,"ABILA, Krono","He had watched his father, Jeroen and the founder of the POK, Henk Bodrogi walk the very path he would tread.","father,founder,path",very,"watch,walk,tread","Jeroen,Henk Bodrogi",POK,,,,,0.2,0.3,2
132.txt,World Source,,Abila police break up sit-in turned violent at the presidential manor ,20120620,,"Images of Juliana Vann, the 10 year old girl who dies from illnesses attributed to the industrial giant GAStech international served as rallying points.","image,year,girl,illness,giant,rallying,point","old,industrial,international","die,attribute,serve",Juliana Vann,GAStech,,10 year old,,,0.03333333333333333,0.4,1
698.txt,All News Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","In a touching ceremony Wednesday leaders of the activist group Protectors of Kronos paid tribute to their fallen leader, Elian Karel, who was murdered on 19 June 2009 while being illegally detained in a Kronos jail.","ceremony,leader,activist,group,tribute,leader,jail",touching,"pay,fall,murder,detain",Elian Karel,"Protectors of Kronos,Kronos",,"Wednesday,19 June 2009",,,-0.03333333333333333,0.3333333333333333,1
698.txt,All News Today,,POK REMEMBERS MARTYRED LEADER,20120620,"ABILA, Kronos","""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor. 

""Elian was born on an Elodis farm not 40 minutes from here, to Jeroen and Antaura Karel.","today,assembly,candle,honor,farm,minute","rapt,many,white","gather,remember,tell,hold,bear","Elian Karel,Silvia Marek,Karel,Elian,Jeroen,Antaura Karel",Elodis,,Today,,,0.25,0.25,6
132.txt,World Source,,Abila police break up sit-in turned violent at the presidential manor ,20120620,,"Tuesday was the third anniversary of the mysterious death of Elian Karel, a popular leader of the POK who died in prison.","anniversary,death,leader,prison","third,mysterious,popular",die,Elian Karel,POK,,Tuesday,,,0.2,0.6333333333333333,1
18.txt,Homeland Illumination,Petrus Gerhar,POK REMEMBERS MARTYRED LEADE,20120620,"ABILA, Krono","""Today we gather to remember Elian Karel,"" Silvia Marek told the rapt assembly, many of whom held up white candles in Karel's honor.","today,assembly,candle,honor","rapt,many,white","gather,remember,tell,hold","Elian Karel,Silvia Marek,Karel",,,Today,,,0.25,0.25,3
343.txt,Everyday News,,The police of Abila breaks itself for above will seat dice returned violent in presidential,20120621,,"Tuesday was the third anniversary of the mysterious death of Elian Karel, popular leader of the POK that died in the prison.","anniversary,death,leader,prison","third,mysterious,popular",die,Elian Karel,POK,,Tuesday,,,0.2,0.6333333333333333,1
116.txt,The Wrap,,POK REMIND LEADER MARTYRE,20120621,"ABILA, Kronos","In LEADERs of moving ceramics Wednesday of activist the group guards of Kronos homage paid to their cases LEADER, Elian Karel, who on 19 June 2009 whereas resistance worker is held in a prison Kronos assassination.","leader,ceramic,activist,group,guard,homage,case,leader,resistance,worker,prison,assassination",,"move,pay,hold",Elian Karel,"Kronos,Kronos",,"Wednesday,19 June 2009",,,0.0,0.0,1
351.txt,World Journal,,The police force of Abila breaks upwards rest-in turned violent one with the presidential manor,20120621,,"The images of Juliana Vann, girl the 10 year old who dies of the diseases allotted to the international industrial giant of GAStech been used as gathering points.

People moving to a pro-governmental gather were attacked by defenders of POK, and posterior projectiles were put fire.  

Tuesday was the third birthday of the mysterious death of Elian Karel, a popular chief of the POK which died in prison. 

Later in day, which had been a demonstration mainly peaceful round violent when crowd began with vandalizing the buildings of government and the presidential farm.  

A group of younger protestateurs attacked vehicles, windows sensational.","image,girl,year,disease,giant,gathering,point,people,gather,defender,projectile,fire,birthday,death,chief,prison,day,demonstration,crowd,building,government,farm,group,protestateur,vehicle,window","old,international,industrial,pro,-,governmental,posterior,third,mysterious,popular,peaceful,violent,presidential,young,sensational","die,allot,use,attack,put,die,be,begin,vandalize,attack","Juliana Vann,Elian Karel","POK,POK",,"the 10 year old,Tuesday",,,0.05138888888888888,0.4722222222222223,2
116.txt,The Wrap,,POK REMIND LEADER MARTYRE,20120621,"ABILA, Kronos","Elian knew a difficult travel of him would be.  He had on its father, Jeroen and the founder of POK, the pace of Henk Bodrogi actual gone paid attention which he would enter.","travel,father,founder,pace,attention",difficult,"know,be,go,pay,enter","Elian,Jeroen,Henk Bodrogi",POK,,,,,-0.25,0.55,3
116.txt,The Wrap,,POK REMIND LEADER MARTYRE,20120621,"ABILA, Kronos","By the time that Elian 17 much of its family members and the friends constant sickness poisoning, including its neighbor 10 were years - old Juliana Vann.","time,family,member,friend,sickness,poisoning,neighbor,year","much,constant,old",include,Juliana Vann,,,,,,0.10000000000000002,0.2444444444444445,1
318.txt,The Continent,,To sit in divide the police force of Abila twisted violently at presidential manor,20120621,,"The pictures of Juliana Vann, 10 the one person whose birthday it is little girl that to sicknesses dies which to be attributed to industrial reuze international GAStech served such as collecting aim.

People who to pro-government counter-collection were attacked lead POK defenders, and the more recent shots were put in fire.  

Tuesday were the third anniversary of mysterious dead of Elian Karel, a popular LEADER of POK who in prison died. 

Later in the day, what a mainly peaceful violently twisted demonstration had been then the mob started government bldg. and the presidential farm vandalizing.  

A group younger protestors attacked vehicles, break windows.","picture,person,birthday,girl,sickness,reuze,aim,people,counter,-,collection,defender,shot,fire,anniversary,leader,prison,day,demonstration,mob,government,bldg,.,farm,group,protestor,vehicle,window","little,industrial,international,such,pro,-,government,recent,third,mysterious,dead,popular,peaceful,twisted,presidential,young","be,die,attribute,serve,collect,attack,lead,put,die,be,start,vandalize,attack,break","Juliana Vann,Elian Karel","GAStech,POK,POK",,"10,Tuesday,the day",,,0.03557692307692307,0.4269230769230769,2
116.txt,The Wrap,,POK REMIND LEADER MARTYRE,20120621,"ABILA, Kronos","We collect us today to remind Elian Karel, Silvia Marek told rap assembly, much of which supported white candles in the honor of Karel.","today,rap,assembly,candle,honor","much,white","collect,remind,tell,support","Elian Karel,Silvia Marek,Karel",,,today,,,0.1,0.1,3
662.txt,The Orb,,POK POINTS OUT THE CHIEF OF MARTYRE,20120622,"ABILA, Kronos","He grew with the spectrum of dead all around him.   Before Elian was 17 several of its members of family and the friends fought the constant disease, including its neighbor 10 years - old Juliana Vann. "" 

Marek made a pause one moment to allow the cries of ""remember Juliana!"" to fade.","spectrum,member,family,friend,disease,neighbor,year,pause,moment,cry","dead,several,constant,old","grow,be,fight,make,allow,remember,fade","Elian,Juliana Vann,Marek,Juliana",,,"17,10 years - old",,,-0.018750000000000003,0.2333333333333333,4
662.txt,The Orb,,POK POINTS OUT THE CHIEF OF MARTYRE,20120622,"ABILA, Kronos","It had observed his father, Jeroen and the founder of the POK, walk of Henk Bodrogi the way even as it would go.","father,founder,way",,"observe,walk,go","Jeroen,Henk Bodrogi",POK,,,,,0.0,0.0,2
572.txt,Daily Pegasus,,POK REMEMBERS MARTYRED LEADE,20120622,"ABILA, Kronos","He had watched his father, to Jeroen and founder of the POK, long walk of Henk Bodrogi the same trajectory that he would be above.  Elian knew that the course would not be easy, and that it would leave just a short time by a personal life.","father,founder,walk,trajectory,course,time,life","long,same,easy,short,personal","watch,be,know,be,leave","Jeroen,Henk Bodrogi,Elian",POK,,,,,0.0638888888888889,0.3430555555555556,3
